Size	vCPU	Memory (GiB)	Temp disk (GiB)	NVMe Disks	NVMe Disk throughput (Read IOPS/MBps)	Uncached data disk throughput (IOPS/MBps)	Max burst uncached data disk throughput (IOPS/MBps)	Max Data Disks	Max NICs	Expected network bandwidth (Mbps)



Standard_L8s_v3	8	64	80	1x1.92 TB	400000/2000	12800/290	20000/1200	16	4	12500
Standard_L16s_v3	16	128	160	2x1.92 TB	800000/4000	25600/600	40000/1600	32	8	12500
Standard_L32s_v3	32	256	320	4x1.92 TB	1.5M/8000	51200/865	80000/2000	32	8	16000
Standard_L48s_v3	48	384	480	6x1.92 TB	2.2M/14000	76800/1315	80000/3000	32	8	24000
Standard_L64s_v3	64	512	640	8x1.92 TB	2.9M/16000	80000/1735	80000/3000	32	8	30000
Standard_L80s_v3	80	640	800	10x1.92TB	3.8M/20000	80000/2160	80000/3000	32	8	32000


Standard_L8as_v3	8	64	80	1x1.92 TB	400000/2000	12800/200	20000/1280	16	4	12500
Standard_L16as_v3	16	128	160	2x1.92 TB	800000/4000	25600/384	40000/1280	32	8	12500
Standard_L32as_v3	32	256	320	4x1.92 TB	1.5M/8000	51200/768	80000/1600	32	8	16000
Standard_L48as_v3	48	384	480	6x1.92 TB	2.2M/14000	76800/1152	80000/2000	32	8	24000
Standard_L64as_v3	64	512	640	8x1.92 TB	2.9M/16000	80000/1280	80000/2000	32	8	32000
Standard_L80as_v3	80	640	800	10x1.92TB	3.8M/20000	80000/1400	80000/2000	32	8	32000
